                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.76881,                0.44981,                0.97197,                0.97641,                0.98776,                0.98861,                0.82523,                0.69785,                0.39209,                0.94278,              0.0014192,              0.0014192,              0.0014192
                     91,                0.76334,                0.43044,                0.95007,                 0.9741,                0.98739,                0.98749,                0.81065,                0.68541,                0.38937,                0.94027,              0.0014126,              0.0014126,              0.0014126
                     92,                0.78736,                0.44991,                0.96906,                0.98104,                0.98792,                 0.9885,                0.82051,                0.72118,                0.37987,                0.96002,               0.001406,               0.001406,               0.001406
                     93,                0.78659,                0.46036,                0.96799,                0.98298,                0.98329,                0.98611,                0.82799,                0.73437,                0.39562,                0.96989,              0.0013994,              0.0013994,              0.0013994
                     94,                 0.7981,                0.47754,                0.97666,                0.98225,                0.99045,                0.98922,                 0.8411,                0.66718,                0.36837,                0.94122,              0.0013928,              0.0013928,              0.0013928
                     95,                0.74941,                0.44749,                0.95579,                0.97029,                0.99045,                0.98727,                 0.8434,                0.66804,                0.37971,                0.93151,              0.0013862,              0.0013862,              0.0013862
                     96,                0.75299,                0.45196,                 0.9434,                0.98506,                0.99045,                 0.9872,                0.81636,                0.66968,                0.37553,                0.93584,              0.0013796,              0.0013796,              0.0013796
                     97,                0.75203,                0.43786,                0.95198,                0.98192,                0.98807,                 0.9872,                0.83045,                0.68536,                0.37854,                0.93914,               0.001373,               0.001373,               0.001373
                     98,                0.75619,                0.42732,                0.94843,                0.97598,                0.98807,                0.98618,                0.83876,                0.67619,                0.36533,                0.93286,              0.0013664,              0.0013664,              0.0013664
                     99,                0.76637,                0.42552,                0.94674,                0.97424,                0.99273,                 0.9842,                0.81215,                0.69951,                0.37902,                0.94287,              0.0013598,              0.0013598,              0.0013598
                    100,                0.75936,                0.41898,                0.96334,                 0.9857,                0.99045,                0.98851,                0.84527,                0.66625,                0.35878,                0.93633,              0.0013532,              0.0013532,              0.0013532
                    101,                0.73614,                 0.4142,                0.93971,                0.97999,                0.99284,                0.98776,                0.84385,                 0.6516,                 0.3489,                0.92628,              0.0013466,              0.0013466,              0.0013466
                    102,                0.72772,                0.42083,                0.94239,                0.98301,                0.98329,                0.98818,                0.83396,                0.67261,                0.35953,                0.93745,                0.00134,                0.00134,                0.00134
                    103,                0.73873,                0.42146,                0.94665,                0.98109,                0.98329,                0.98903,                0.81972,                0.68065,                0.37151,                0.93714,              0.0013334,              0.0013334,              0.0013334
                    104,                0.74231,                 0.4091,                0.94693,                 0.9852,                0.99284,                0.98632,                0.82872,                0.67018,                0.35997,                0.93739,              0.0013268,              0.0013268,              0.0013268
                    105,                0.75119,                0.42877,                0.94824,                0.98388,                0.99045,                0.98895,                0.84437,                0.66617,                0.36465,                0.93124,              0.0013202,              0.0013202,              0.0013202
                    106,                0.77576,                0.44724,                0.96301,                0.97633,                0.98456,                0.98874,                0.84449,                0.66341,                0.36647,                 0.9346,              0.0013136,              0.0013136,              0.0013136
                    107,                0.76281,                0.43132,                0.95285,                0.98045,                0.99284,                0.98803,                0.83043,                0.67201,                0.36009,                0.93532,               0.001307,               0.001307,               0.001307
                    108,                 0.7247,                0.40333,                0.94042,                0.97842,                0.99284,                0.99004,                0.83723,                 0.6563,                0.35396,                0.92799,              0.0013004,              0.0013004,              0.0013004
                    109,                0.74109,                0.40699,                0.94943,                0.98578,                0.99262,                0.98659,                0.81966,                0.72709,                0.37494,                0.96464,              0.0012938,              0.0012938,              0.0012938
                    110,                0.74065,                0.42322,                0.94968,                0.98578,                0.99261,                0.99102,                0.83517,                0.67734,                0.36914,                0.93686,              0.0012872,              0.0012872,              0.0012872
                    111,                0.75005,                0.41131,                0.96358,                0.98112,                0.99219,                0.98989,                0.84377,                0.65163,                0.35842,                0.92557,              0.0012806,              0.0012806,              0.0012806
                    112,                0.74238,                 0.4299,                0.95507,                0.97867,                0.98575,                0.98955,                0.83982,                0.67069,                0.36843,                0.93236,               0.001274,               0.001274,               0.001274
                    113,                0.74548,                0.40861,                0.94232,                0.98275,                0.99284,                 0.9895,                0.83623,                0.67981,                 0.3695,                0.93937,              0.0012674,              0.0012674,              0.0012674
                    114,                 0.7592,                0.43104,                0.95091,                  0.981,                0.98572,                0.98925,                0.84463,                 0.6802,                0.37359,                0.94086,              0.0012608,              0.0012608,              0.0012608
                    115,                0.73887,                0.41575,                 0.9433,                0.98336,                0.98713,                0.99007,                0.84412,                0.63936,                0.34539,                0.92126,              0.0012542,              0.0012542,              0.0012542
                    116,                0.73091,                0.40962,                0.93948,                0.98321,                0.98807,                0.98958,                0.84181,                0.67982,                0.35662,                0.94048,              0.0012476,              0.0012476,              0.0012476
                    117,                0.72914,                0.40016,                0.94033,                0.97644,                0.99284,                0.98802,                0.84939,                0.64827,                0.34757,                0.92009,               0.001241,               0.001241,               0.001241
                    118,                0.73165,                0.41821,                0.95199,                0.98336,                0.98745,                0.99088,                0.83987,                0.68999,                0.36462,                0.94582,              0.0012344,              0.0012344,              0.0012344
                    119,                0.75546,                0.40995,                0.93914,                0.98337,                0.98772,                0.98936,                0.83713,                 0.6895,                 0.3728,                0.94122,              0.0012278,              0.0012278,              0.0012278
                    120,                 0.7327,                0.40999,                 0.9359,                0.97639,                0.98694,                0.98868,                0.83501,                0.66887,                0.35849,                0.93457,              0.0012212,              0.0012212,              0.0012212
                    121,                0.73036,                0.42623,                0.94136,                0.98133,                0.99284,                0.98971,                0.84275,                0.65633,                0.36531,                0.92898,              0.0012146,              0.0012146,              0.0012146
                    122,                0.72637,                0.40531,                0.93604,                0.98343,                0.99171,                0.99119,                0.84779,                0.66043,                0.34262,                0.93055,               0.001208,               0.001208,               0.001208
                    123,                0.71698,                0.39768,                 0.9522,                0.98297,                0.98807,                0.98861,                0.84595,                0.65166,                0.33717,                0.92255,              0.0012014,              0.0012014,              0.0012014
                    124,                0.70238,                0.37971,                0.92911,                0.98551,                0.99045,                0.98927,                0.84373,                0.66973,                0.34231,                 0.9345,              0.0011948,              0.0011948,              0.0011948
                    125,                0.73771,                0.39435,                0.94469,                0.98276,                0.99284,                0.99037,                0.85613,                0.62863,                0.34011,                0.91539,              0.0011882,              0.0011882,              0.0011882
                    126,                0.71243,                0.39373,                 0.9354,                0.98574,                0.98989,                0.99204,                0.85612,                0.63149,                0.33505,                0.91699,              0.0011816,              0.0011816,              0.0011816
                    127,                0.75216,                0.40664,                0.94713,                0.97886,                0.99441,                 0.9888,                0.84464,                0.65327,                 0.3467,                0.93083,               0.001175,               0.001175,               0.001175
                    128,                 0.7234,                0.39307,                 0.9362,                0.98344,                0.99244,                0.98997,                0.85965,                0.63366,                0.33671,                 0.9183,              0.0011684,              0.0011684,              0.0011684
                    129,                0.76238,                0.40678,                0.96129,                0.98537,                0.99284,                0.99045,                0.84225,                0.64697,                0.33822,                0.92154,              0.0011618,              0.0011618,              0.0011618
                    130,                0.75641,                0.42827,                0.94693,                 0.9853,                0.99284,                0.98794,                0.84812,                0.63062,                0.34266,                0.92136,              0.0011552,              0.0011552,              0.0011552
                    131,                0.72087,                0.40411,                0.94557,                0.98577,                 0.9923,                0.98663,                 0.8327,                0.65277,                0.34745,                0.92714,              0.0011486,              0.0011486,              0.0011486
                    132,                0.72767,                 0.4044,                0.93673,                0.98423,                0.99045,                0.98866,                0.84405,                0.65082,                0.34353,                0.92727,               0.001142,               0.001142,               0.001142
                    133,                0.69131,                0.38638,                0.93985,                0.98574,                0.98988,                 0.9886,                0.84965,                0.65885,                0.34781,                0.93231,              0.0011354,              0.0011354,              0.0011354
                    134,                0.71841,                0.39984,                 0.9299,                 0.9847,                0.99045,                0.98644,                0.83854,                0.64936,                0.34412,                0.92105,              0.0011288,              0.0011288,              0.0011288
                    135,                0.71448,                 0.3949,                0.93991,                0.98282,                0.99284,                0.98859,                0.84145,                0.65974,                 0.3449,                0.92995,              0.0011222,              0.0011222,              0.0011222
                    136,                0.70987,                0.42687,                0.93443,                0.98104,                0.98772,                0.99214,                0.84195,                0.66941,                0.36083,                0.93885,              0.0011156,              0.0011156,              0.0011156
                    137,                0.72927,                0.41136,                 0.9391,                0.97429,                 0.9949,                0.98926,                0.83045,                 0.6307,                 0.3529,                0.91938,               0.001109,               0.001109,               0.001109
                    138,                 0.7159,                0.38834,                0.94172,                0.97865,                0.98807,                0.98952,                0.86046,                 0.6252,                0.33115,                0.91605,              0.0011024,              0.0011024,              0.0011024
                    139,                0.71272,                0.38359,                0.94014,                0.98295,                0.99523,                0.99063,                0.84781,                0.63468,                0.32769,                 0.9181,              0.0010958,              0.0010958,              0.0010958
                    140,                0.70421,                 0.3928,                 0.9322,                 0.9858,                0.99418,                0.98922,                0.85084,                0.62414,                0.32997,                0.91421,              0.0010892,              0.0010892,              0.0010892
                    141,                 0.7081,                0.38696,                 0.9381,                0.98333,                0.98556,                0.98883,                0.85319,                0.60485,                0.32193,                0.90766,              0.0010826,              0.0010826,              0.0010826
                    142,                 0.7174,                0.39407,                0.93556,                0.98577,                0.99212,                0.98913,                0.85989,                0.62352,                 0.3312,                0.91727,               0.001076,               0.001076,               0.001076
                    143,                0.70849,                0.38621,                0.92819,                 0.9852,                0.99284,                0.99047,                0.85728,                0.62696,                0.32314,                0.91372,              0.0010694,              0.0010694,              0.0010694
                    144,                0.69889,                0.38521,                0.93916,                0.98248,                0.99761,                0.99103,                0.86047,                0.62799,                0.32086,                0.91502,              0.0010628,              0.0010628,              0.0010628
                    145,                0.71005,                0.39114,                0.93423,                0.98342,                0.99096,                0.99112,                0.85995,                0.62185,                0.32848,                0.91207,              0.0010562,              0.0010562,              0.0010562
                    146,                0.70122,                0.37744,                0.92799,                0.98328,                0.99045,                0.98968,                0.86283,                0.61363,                0.31757,                0.91066,              0.0010496,              0.0010496,              0.0010496
                    147,                0.72389,                0.38669,                0.93216,                0.98581,                0.99477,                 0.9924,                0.85835,                0.64054,                0.33135,                 0.9199,               0.001043,               0.001043,               0.001043
                    148,                0.71115,                0.38886,                0.94429,                0.98578,                0.99266,                0.99169,                0.85866,                0.64898,                 0.3325,                0.91972,              0.0010364,              0.0010364,              0.0010364
                    149,                0.68798,                 0.3843,                0.92311,                0.98549,                0.98807,                0.99011,                0.86447,                0.62448,                0.32465,                0.91275,              0.0010298,              0.0010298,              0.0010298
                    150,                0.70024,                0.38031,                0.93749,                0.98578,                0.99243,                0.99084,                0.85579,                0.62763,                0.32122,                0.91588,              0.0010232,              0.0010232,              0.0010232
                    151,                0.71409,                0.39045,                0.93665,                0.98345,                0.99282,                0.99004,                0.85277,                0.64487,                0.33939,                0.92441,              0.0010166,              0.0010166,              0.0010166
                    152,                0.69434,                0.39889,                0.91152,                0.98275,                0.98807,                0.98705,                0.84815,                0.63814,                0.33276,                0.92425,                0.00101,                0.00101,                0.00101
                    153,                 0.7034,                0.37468,                0.92598,                0.98348,                0.99479,                0.98955,                0.85056,                0.62068,                0.32809,                0.91095,              0.0010034,              0.0010034,              0.0010034
                    154,                0.70051,                0.37134,                0.93635,                0.98047,                0.99045,                0.99276,                0.85877,                0.61361,                0.32888,                0.90792,              0.0009968,              0.0009968,              0.0009968
                    155,                 0.7062,                0.37591,                0.92919,                0.98295,                0.99045,                0.99164,                 0.8639,                0.61252,                0.31902,                0.91321,              0.0009902,              0.0009902,              0.0009902
